Date,Tokyo,Paris,New York
1980-01-01,4.16,0.3,1.48
1980-01-02,4.06,-0.27,1.0
1980-01-03,7.12,-0.31,-3.23
1980-01-04,9.23,4.58,-1.81
1980-01-05,3.2,4.5,-4.31
1980-01-06,7.01,5.56,-0.79
1980-01-07,3.21,4.52,1.18
1980-01-08,2.03,2.14,-1.72
1980-01-09,4.49,1.04,-2.94
1980-01-10,5.94,0.38,3.85
1980-01-11,1.55,-1.01,5.23
1980-01-12,1.76,-2.88,-2.49
1980-01-13,1.67,-5.11,3.66
1980-01-14,0.44,-5.46,7.52
1980-01-15,2.97,-4.86,3.66
1980-01-16,3.78,-2.85,1.8
1980-01-17,4.19,-2.26,3.01
1980-01-18,2.87,-3.22,4.77
1980-01-19,3.38,0.75,3.1
1980-01-20,4.23,2.08,0.13
1980-01-21,2.82,4.17,0.85
1980-01-22,2.14,4.77,3.06
1980-01-23,4.1,4.73,-3.28
1980-01-24,3.85,4.62,-3.78
1980-01-25,3.93,2.94,-1.62
1980-01-26,5.51,1.58,-1.53
1980-01-27,7.68,0.18,-0.18
1980-01-28,10.83,0.2,-2.28
1980-01-29,7.92,1.58,-4.36
1980-01-30,6.87,7.96,-6.05
1980-01-31,5.11,9.22,-8.31
1980-02-01,3.55,4.81,-6.68
1980-02-02,4.77,7.03,-5.98
1980-02-03,4.86,8.02,-4.66
1980-02-04,5.26,9.79,-4.81
1980-02-05,2.4,9.65,-5.27
1980-02-06,0.68,8.1,-1.25
1980-02-07,1.41,7.5,-0.74
1980-02-08,2.13,8.38,-2.21
1980-02-09,2.57,9.83,-1.81
1980-02-10,3.54,8.35,-2.61
1980-02-11,2.58,5.86,-0.52
1980-02-12,5.1,4.38,-2.27
1980-02-13,3.1,4.73,-0.2
1980-02-14,2.66,4.81,-0.12
1980-02-15,3.75,6.53,0.96
1980-02-16,2.05,5.43,-5.31
1980-02-17,2.51,6.01,-5.48
1980-02-18,5.22,4.23,-0.71
1980-02-19,2.23,4.63,1.03
1980-02-20,4.27,5.79,4.02
1980-02-21,2.39,6.7,1.92
1980-02-22,2.8,7.1,3.19
1980-02-23,4.49,5.46,4.1
1980-02-24,5.89,4.95,2.5
1980-02-25,4.77,2.58,-1.84
1980-02-26,5.21,4.76,-5.06
1980-02-27,6.1,3.61,-3.43
1980-02-28,0.99,1.23,-8.07
1980-02-29,6.05,3.6,-10.44
1980-03-01,6.34,4.53,-7.4
1980-03-02,5.68,4.71,-5.19
1980-03-03,4.6,3.59,0.19
1980-03-04,7.5,2.57,3.53
1980-03-05,4.37,4.42,4.19
1980-03-06,4.39,7.24,3.08
1980-03-07,5.52,6.6,7.47
1980-03-08,5.85,5.56,6.3
1980-03-09,6.52,6.8,2.63
1980-03-10,8.52,5.34,4.35
1980-03-11,3.16,5.08,-1.6
1980-03-12,4.71,7.04,-2.43
1980-03-13,7.73,4.92,1.8
1980-03-14,6.21,4.17,1.28
1980-03-15,6.48,3.31,-0.36
1980-03-16,6.91,4.04,5.38
1980-03-17,8.76,4.74,9.41
1980-03-18,6.14,7.04,4.77
1980-03-19,4.79,8.09,6.62
1980-03-20,10.59,2.31,9.01
1980-03-21,7.54,1.16,5.12
1980-03-22,1.96,2.9,5.33
1980-03-23,4.69,3.79,5.88
1980-03-24,2.75,5.04,4.45
1980-03-25,6.56,5.92,5.33
1980-03-26,8.61,7.1,6.27
1980-03-27,9.46,12.68,5.71
1980-03-28,11.2,12.48,7.54
1980-03-29,14.14,8.37,8.17
1980-03-30,14.51,7.66,5.57
1980-03-31,14.77,9.59,5.23
1980-04-01,11.95,12.53,6.41
1980-04-02,9.42,7.92,8.82
1980-04-03,7.82,6.52,10.31
1980-04-04,12.28,4.45,9.24
1980-04-05,17.32,4.64,10.27
1980-04-06,17.57,5.5,9.64
1980-04-07,10.98,6.65,9.93
1980-04-08,12.99,6.13,11.68
1980-04-09,13.79,5.05,12.91
1980-04-10,9.33,8.47,12.47
1980-04-11,13.12,8.71,12.29
1980-04-12,16.83,10.56,14.03
1980-04-13,16.12,12.32,9.59
1980-04-14,13.59,13.84,13.88
1980-04-15,8.78,13.29,8.33
1980-04-16,9.5,14.17,5.34
1980-04-17,8.73,14.06,9.94
1980-04-18,11.79,9.6,11.54
1980-04-19,16.21,9.02,13.37
1980-04-20,17.65,5.56,15.24
1980-04-21,14.18,6.12,11.82
1980-04-22,14.38,6.38,10.38
1980-04-23,13.55,7.15,12.01
1980-04-24,12.36,8.31,11.63
1980-04-25,11.06,8.87,11.98
1980-04-26,12.64,7.43,11.35
1980-04-27,15.04,8.35,9.78
1980-04-28,16.73,8.42,10.06
1980-04-29,15.08,8.17,11.55
1980-04-30,14.46,9.21,12.99
1980-05-01,13.39,12.5,14.45
1980-05-02,15.1,10.26,15.1
